group,parameter,display_name,symbol,units,normalization,lower_bound,reference,upper_bound,description
cst_c1,c1_lower_cst_5,C1 LOWER CST coefficient 5,"A_lower,5^C1",-,Bernstein coefficient,0.0,0.01,0.45,Kulfan CST Bernstein coefficient 5 on the lower surface of section C1.
cst_c2,c2_upper_cst_0,C2 UPPER CST coefficient 0,"A_upper,0^C2",-,Bernstein coefficient,0.0,0.2744633851977888,0.6861584629944719,Kulfan CST Bernstein coefficient 0 on the upper surface of section C2.
cst_c2,c2_upper_cst_1,C2 UPPER CST coefficient 1,"A_upper,1^C2",-,Bernstein coefficient,0.0,0.2865001171315305,0.7162502928288262,Kulfan CST Bernstein coefficient 1 on the upper surface of section C2.
cst_c2,c2_upper_cst_2,C2 UPPER CST coefficient 2,"A_upper,2^C2",-,Bernstein coefficient,0.0,0.2739033467735769,0.6847583669339423,Kulfan CST Bernstein coefficient 2 on the upper surface of section C2.
cst_c2,c2_upper_cst_3,C2 UPPER CST coefficient 3,"A_upper,3^C2",-,Bernstein coefficient,0.0,0.17087353403911076,0.45,Kulfan CST Bernstein coefficient 3 on the upper surface of section C2.
cst_c2,c2_upper_cst_4,C2 UPPER CST coefficient 4,"A_upper,4^C2",-,Bernstein coefficient,0.0,0.06678622477022139,0.45,Kulfan CST Bernstein coefficient 4 on the upper surface of section C2.
cst_c2,c2_upper_cst_5,C2 UPPER CST coefficient 5,"A_upper,5^C2",-,Bernstein coefficient,0.0,0.04,0.45,Kulfan CST Bernstein coefficient 5 on the upper surface of section C2.
cst_c2,c2_lower_cst_0,C2 LOWER CST coefficient 0,"A_lower,0^C2",-,Bernstein coefficient,0.0,0.11778601462748521,0.45,Kulfan CST Bernstein coefficient 0 on the lower surface of section C2.
cst_c2,c2_lower_cst_1,C2 LOWER CST coefficient 1,"A_lower,1^C2",-,Bernstein coefficient,0.0,0.08738599041659881,0.45,Kulfan CST Bernstein coefficient 1 on the lower surface of section C2.
cst_c2,c2_lower_cst_2,C2 LOWER CST coefficient 2,"A_lower,2^C2",-,Bernstein coefficient,0.0,0.08074066433601852,0.45,Kulfan CST Bernstein coefficient 2 on the lower surface of section C2.
cst_c2,c2_lower_cst_3,C2 LOWER CST coefficient 3,"A_lower,3^C2",-,Bernstein coefficient,0.0,0.06999060859088185,0.45,Kulfan CST Bernstein coefficient 3 on the lower surface of section C2.
cst_c2,c2_lower_cst_4,C2 LOWER CST coefficient 4,"A_lower,4^C2",-,Bernstein coefficient,0.0,0.04467731447415471,0.45,Kulfan CST Bernstein coefficient 4 on the lower surface of section C2.
cst_c2,c2_lower_cst_5,C2 LOWER CST coefficient 5,"A_lower,5^C2",-,Bernstein coefficient,0.0,0.008,0.45,Kulfan CST Bernstein coefficient 5 on the lower surface of section C2.
cst_c3,c3_upper_cst_0,C3 UPPER CST coefficient 0,"A_upper,0^C3",-,Bernstein coefficient,0.0,0.1771165227729815,0.45,Kulfan CST Bernstein coefficient 0 on the upper surface of section C3.
cst_c3,c3_upper_cst_1,C3 UPPER CST coefficient 1,"A_upper,1^C3",-,Bernstein coefficient,0.0,0.1789021217118391,0.45,Kulfan CST Bernstein coefficient 1 on the upper surface of section C3.
cst_c3,c3_upper_cst_2,C3 UPPER CST coefficient 2,"A_upper,2^C3",-,Bernstein coefficient,0.0,0.17615134558387913,0.45,Kulfan CST Bernstein coefficient 2 on the upper surface of section C3.
cst_c3,c3_upper_cst_3,C3 UPPER CST coefficient 3,"A_upper,3^C3",-,Bernstein coefficient,0.0,0.11229121126131048,0.45,Kulfan CST Bernstein coefficient 3 on the upper surface of section C3.
cst_c3,c3_upper_cst_4,C3 UPPER CST coefficient 4,"A_upper,4^C3",-,Bernstein coefficient,0.0,0.04362691385861208,0.45,Kulfan CST Bernstein coefficient 4 on the upper surface of section C3.
cst_c3,c3_upper_cst_5,C3 UPPER CST coefficient 5,"A_upper,5^C3",-,Bernstein coefficient,0.0,0.025,0.45,Kulfan CST Bernstein coefficient 5 on the upper surface of section C3.
cst_c3,c3_lower_cst_0,C3 LOWER CST coefficient 0,"A_lower,0^C3",-,Bernstein coefficient,0.0,0.07794960349971847,0.45,Kulfan CST Bernstein coefficient 0 on the lower surface of section C3.
cst_c3,c3_lower_cst_1,C3 LOWER CST coefficient 1,"A_lower,1^C3",-,Bernstein coefficient,0.0,0.05477434654250904,0.45,Kulfan CST Bernstein coefficient 1 on the lower surface of section C3.
cst_c3,c3_lower_cst_2,C3 LOWER CST coefficient 2,"A_lower,2^C3",-,Bernstein coefficient,0.0,0.04979025827470704,0.45,Kulfan CST Bernstein coefficient 2 on the lower surface of section C3.
cst_c3,c3_lower_cst_3,C3 LOWER CST coefficient 3,"A_lower,3^C3",-,Bernstein coefficient,0.0,0.04405080606494915,0.45,Kulfan CST Bernstein coefficient 3 on the lower surface of section C3.
cst_c3,c3_lower_cst_4,C3 LOWER CST coefficient 4,"A_lower,4^C3",-,Bernstein coefficient,0.0,0.027903031526270303,0.45,Kulfan CST Bernstein coefficient 4 on the lower surface of section C3.
cst_c3,c3_lower_cst_5,C3 LOWER CST coefficient 5,"A_lower,5^C3",-,Bernstein coefficient,0.0,0.005,0.45,Kulfan CST Bernstein coefficient 5 on the lower surface of section C3.
cst_c4,c4_upper_cst_0,C4 UPPER CST coefficient 0,"A_upper,0^C4",-,Bernstein coefficient,0.0,0.13204052603737756,0.45,Kulfan CST Bernstein coefficient 0 on the upper surface of section C4.
cst_c4,c4_upper_cst_1,C4 UPPER CST coefficient 1,"A_upper,1^C4",-,Bernstein coefficient,0.0,0.131982607124543,0.45,Kulfan CST Bernstein coefficient 1 on the upper surface of section C4.
cst_c4,c4_upper_cst_2,C4 UPPER CST coefficient 2,"A_upper,2^C4",-,Bernstein coefficient,0.0,0.13661581920678875,0.45,Kulfan CST Bernstein coefficient 2 on the upper surface of section C4.
cst_c4,c4_upper_cst_3,C4 UPPER CST coefficient 3,"A_upper,3^C4",-,Bernstein coefficient,0.0,0.0896436179309724,0.45,Kulfan CST Bernstein coefficient 3 on the upper surface of section C4.
cst_c4,c4_upper_cst_4,C4 UPPER CST coefficient 4,"A_upper,4^C4",-,Bernstein coefficient,0.0,0.03422887345723429,0.45,Kulfan CST Bernstein coefficient 4 on the upper surface of section C4.
cst_c4,c4_upper_cst_5,C4 UPPER CST coefficient 5,"A_upper,5^C4",-,Bernstein coefficient,0.0,0.018,0.45,Kulfan CST Bernstein coefficient 5 on the upper surface of section C4.
cst_c4,c4_lower_cst_0,C4 LOWER CST coefficient 0,"A_lower,0^C4",-,Bernstein coefficient,0.0,0.056010425731014404,0.45,Kulfan CST Bernstein coefficient 0 on the lower surface of section C4.
cst_c4,c4_lower_cst_1,C4 LOWER CST coefficient 1,"A_lower,1^C4",-,Bernstein coefficient,0.0,0.036736910979084256,0.45,Kulfan CST Bernstein coefficient 1 on the lower surface of section C4.
cst_c4,c4_lower_cst_2,C4 LOWER CST coefficient 2,"A_lower,2^C4",-,Bernstein coefficient,0.0,0.03137859227072081,0.45,Kulfan CST Bernstein coefficient 2 on the lower surface of section C4.
cst_c4,c4_lower_cst_3,C4 LOWER CST coefficient 3,"A_lower,3^C4",-,Bernstein coefficient,0.0,0.028562744974141473,0.45,Kulfan CST Bernstein coefficient 3 on the lower surface of section C4.
cst_c4,c4_lower_cst_4,C4 LOWER CST coefficient 4,"A_lower,4^C4",-,Bernstein coefficient,0.0,0.019164856377254798,0.45,Kulfan CST Bernstein coefficient 4 on the lower surface of section C4.
cst_c4,c4_lower_cst_5,C4 LOWER CST coefficient 5,"A_lower,5^C4",-,Bernstein coefficient,0.0,0.003,0.45,Kulfan CST Bernstein coefficient 5 on the lower surface of section C4.
