parameter,display_name,symbol,units,normalization,lower_bound,cta_value,upper_bound,description
c1_lower_cst_1,C0 LOWER CST coefficient 1,"A_lower,1^C0",-,Bernstein coefficient,0.06382620498018837,0.12382620498018837,0.18382620498018837,Kulfan CST Bernstein coefficient 1 on the lower surface of section C0.
c1_lower_cst_2,C0 LOWER CST coefficient 2,"A_lower,2^C0",-,Bernstein coefficient,0.10591644781925368,0.15591644781925368,0.20591644781925367,Kulfan CST Bernstein coefficient 2 on the lower surface of section C0.
c1_lower_cst_3,C0 LOWER CST coefficient 3,"A_lower,3^C0",-,Bernstein coefficient,0.16753638510529728,0.21753638510529727,0.26753638510529726,Kulfan CST Bernstein coefficient 3 on the lower surface of section C0.
c1_lower_cst_4,C0 LOWER CST coefficient 4,"A_lower,4^C0",-,Bernstein coefficient,0.22350547424055292,0.26350547424055293,0.3035054742405529,Kulfan CST Bernstein coefficient 4 on the lower surface of section C0.
c1_lower_cst_5,C0 LOWER CST coefficient 5,"A_lower,5^C0",-,Bernstein coefficient,0.23640471767304153,0.2664047176730415,0.29640471767304155,Kulfan CST Bernstein coefficient 5 on the lower surface of section C0.
c2_upper_cst_0,C3 UPPER CST coefficient 0,"A_upper,0^C3",-,Bernstein coefficient,0.09253546316853695,0.15253546316853694,0.21253546316853694,Kulfan CST Bernstein coefficient 0 on the upper surface of section C3.
c2_upper_cst_1,C3 UPPER CST coefficient 1,"A_upper,1^C3",-,Bernstein coefficient,0.17873660876792372,0.2387366087679237,0.29873660876792374,Kulfan CST Bernstein coefficient 1 on the upper surface of section C3.
c2_upper_cst_2,C3 UPPER CST coefficient 2,"A_upper,2^C3",-,Bernstein coefficient,0.19824699180387345,0.24824699180387344,0.29824699180387343,Kulfan CST Bernstein coefficient 2 on the upper surface of section C3.
c2_upper_cst_3,C3 UPPER CST coefficient 3,"A_upper,3^C3",-,Bernstein coefficient,0.15673681995442906,0.20673681995442905,0.25673681995442904,Kulfan CST Bernstein coefficient 3 on the upper surface of section C3.
c2_upper_cst_4,C3 UPPER CST coefficient 4,"A_upper,4^C3",-,Bernstein coefficient,0.12032373313699052,0.16032373313699053,0.20032373313699053,Kulfan CST Bernstein coefficient 4 on the upper surface of section C3.
c2_upper_cst_5,C3 UPPER CST coefficient 5,"A_upper,5^C3",-,Bernstein coefficient,0.0884220073950578,0.1184220073950578,0.1484220073950578,Kulfan CST Bernstein coefficient 5 on the upper surface of section C3.
c2_lower_cst_0,C3 LOWER CST coefficient 0,"A_lower,0^C3",-,Bernstein coefficient,0.0514625681666329,0.1114625681666329,0.1714625681666329,Kulfan CST Bernstein coefficient 0 on the lower surface of section C3.
c2_lower_cst_1,C3 LOWER CST coefficient 1,"A_lower,1^C3",-,Bernstein coefficient,0.08152962008931408,0.14152962008931408,0.20152962008931408,Kulfan CST Bernstein coefficient 1 on the lower surface of section C3.
c2_lower_cst_2,C3 LOWER CST coefficient 2,"A_lower,2^C3",-,Bernstein coefficient,0.11230417597184304,0.16230417597184305,0.21230417597184303,Kulfan CST Bernstein coefficient 2 on the lower surface of section C3.
c2_lower_cst_3,C3 LOWER CST coefficient 3,"A_lower,3^C3",-,Bernstein coefficient,0.13010566020175102,0.18010566020175103,0.23010566020175105,Kulfan CST Bernstein coefficient 3 on the lower surface of section C3.
c2_lower_cst_4,C3 LOWER CST coefficient 4,"A_lower,4^C3",-,Bernstein coefficient,0.13187638770567706,0.17187638770567706,0.21187638770567707,Kulfan CST Bernstein coefficient 4 on the lower surface of section C3.
c2_lower_cst_5,C3 LOWER CST coefficient 5,"A_lower,5^C3",-,Bernstein coefficient,0.11132985823466146,0.14132985823466146,0.17132985823466146,Kulfan CST Bernstein coefficient 5 on the lower surface of section C3.
c3_upper_cst_0,C4 UPPER CST coefficient 0,"A_upper,0^C4",-,Bernstein coefficient,0.031901119309725404,0.0919011193097254,0.15190111930972539,Kulfan CST Bernstein coefficient 0 on the upper surface of section C4.
c3_upper_cst_1,C4 UPPER CST coefficient 1,"A_upper,1^C4",-,Bernstein coefficient,0.058334578130521786,0.11833457813052178,0.17833457813052178,Kulfan CST Bernstein coefficient 1 on the upper surface of section C4.
c3_upper_cst_2,C4 UPPER CST coefficient 2,"A_upper,2^C4",-,Bernstein coefficient,0.10652234908715201,0.156522349087152,0.206522349087152,Kulfan CST Bernstein coefficient 2 on the upper surface of section C4.
c3_upper_cst_3,C4 UPPER CST coefficient 3,"A_upper,3^C4",-,Bernstein coefficient,0.1252679717390872,0.17526797173908723,0.22526797173908725,Kulfan CST Bernstein coefficient 3 on the upper surface of section C4.
c3_upper_cst_4,C4 UPPER CST coefficient 4,"A_upper,4^C4",-,Bernstein coefficient,0.1166348341118798,0.1566348341118798,0.19663483411187982,Kulfan CST Bernstein coefficient 4 on the upper surface of section C4.
c3_upper_cst_5,C4 UPPER CST coefficient 5,"A_upper,5^C4",-,Bernstein coefficient,0.08600648886691159,0.11600648886691159,0.1460064888669116,Kulfan CST Bernstein coefficient 5 on the upper surface of section C4.
c3_lower_cst_0,C4 LOWER CST coefficient 0,"A_lower,0^C4",-,Bernstein coefficient,0.0,0.05054878264316995,0.11054878264316995,Kulfan CST Bernstein coefficient 0 on the lower surface of section C4.
c3_lower_cst_1,C4 LOWER CST coefficient 1,"A_lower,1^C4",-,Bernstein coefficient,0.018480323233051724,0.07848032323305172,0.1384803232330517,Kulfan CST Bernstein coefficient 1 on the lower surface of section C4.
c3_lower_cst_2,C4 LOWER CST coefficient 2,"A_lower,2^C4",-,Bernstein coefficient,0.05838842759698347,0.10838842759698347,0.15838842759698346,Kulfan CST Bernstein coefficient 2 on the lower surface of section C4.
c3_lower_cst_3,C4 LOWER CST coefficient 3,"A_lower,3^C4",-,Bernstein coefficient,0.07912560835240508,0.12912560835240508,0.1791256083524051,Kulfan CST Bernstein coefficient 3 on the lower surface of section C4.
c3_lower_cst_4,C4 LOWER CST coefficient 4,"A_lower,4^C4",-,Bernstein coefficient,0.08119807395342274,0.12119807395342273,0.16119807395342273,Kulfan CST Bernstein coefficient 4 on the lower surface of section C4.
c3_lower_cst_5,C4 LOWER CST coefficient 5,"A_lower,5^C4",-,Bernstein coefficient,0.061361010048150436,0.09136101004815043,0.12136101004815043,Kulfan CST Bernstein coefficient 5 on the lower surface of section C4.
c4_upper_cst_0,C5 UPPER CST coefficient 0,"A_upper,0^C5",-,Bernstein coefficient,0.0,0.03809915885565254,0.09809915885565254,Kulfan CST Bernstein coefficient 0 on the upper surface of section C5.
c4_upper_cst_1,C5 UPPER CST coefficient 1,"A_upper,1^C5",-,Bernstein coefficient,0.017819411357243256,0.07781941135724325,0.13781941135724324,Kulfan CST Bernstein coefficient 1 on the upper surface of section C5.
c4_upper_cst_2,C5 UPPER CST coefficient 2,"A_upper,2^C5",-,Bernstein coefficient,0.06470121442301358,0.11470121442301358,0.16470121442301358,Kulfan CST Bernstein coefficient 2 on the upper surface of section C5.
c4_upper_cst_3,C5 UPPER CST coefficient 3,"A_upper,3^C5",-,Bernstein coefficient,0.08458479644589671,0.13458479644589671,0.1845847964458967,Kulfan CST Bernstein coefficient 3 on the upper surface of section C5.
c4_upper_cst_4,C5 UPPER CST coefficient 4,"A_upper,4^C5",-,Bernstein coefficient,0.08097836576404221,0.12097836576404221,0.1609783657640422,Kulfan CST Bernstein coefficient 4 on the upper surface of section C5.
c4_upper_cst_5,C5 UPPER CST coefficient 5,"A_upper,5^C5",-,Bernstein coefficient,0.054679660397535745,0.08467966039753574,0.11467966039753574,Kulfan CST Bernstein coefficient 5 on the upper surface of section C5.
c4_lower_cst_0,C5 LOWER CST coefficient 0,"A_lower,0^C5",-,Bernstein coefficient,0.035175730192889096,0.0951757301928891,0.1551757301928891,Kulfan CST Bernstein coefficient 0 on the lower surface of section C5.
c4_lower_cst_1,C5 LOWER CST coefficient 1,"A_lower,1^C5",-,Bernstein coefficient,0.04425200975148341,0.10425200975148341,0.1642520097514834,Kulfan CST Bernstein coefficient 1 on the lower surface of section C5.
c4_lower_cst_2,C5 LOWER CST coefficient 2,"A_lower,2^C5",-,Bernstein coefficient,0.08154370560478132,0.13154370560478132,0.18154370560478134,Kulfan CST Bernstein coefficient 2 on the lower surface of section C5.
c4_lower_cst_3,C5 LOWER CST coefficient 3,"A_lower,3^C5",-,Bernstein coefficient,0.09860024911251929,0.1486002491125193,0.19860024911251928,Kulfan CST Bernstein coefficient 3 on the lower surface of section C5.
c4_lower_cst_4,C5 LOWER CST coefficient 4,"A_lower,4^C5",-,Bernstein coefficient,0.09198995446542779,0.1319899544654278,0.1719899544654278,Kulfan CST Bernstein coefficient 4 on the lower surface of section C5.
c4_lower_cst_5,C5 LOWER CST coefficient 5,"A_lower,5^C5",-,Bernstein coefficient,0.062234855426670205,0.0922348554266702,0.1222348554266702,Kulfan CST Bernstein coefficient 5 on the lower surface of section C5.
